Brand;Perfume;Year;Rating Value;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
Dior;Sauvage;2015;4.5;fresh spicy;amber;citrus;aromatic;woody
Chanel;Bleu de Chanel;2010;4.6;amber;woody;citrus;aromatic;fresh spicy
Creed;Aventus;2010;4.7;fruity;sweet;leathery;woody;smoky
Versace;Eros;2012;4.3;aromatic;green;vanilla;fresh spicy;woody
Paco Rabanne;1 Million;2008;4.2;warm spicy;cinnamon;citrus;amber;woody
Giorgio Armani;Acqua di Gio;1996;4.4;aromatic;marine;citrus;floral;woody
Tom Ford;Tuscan Leather;2007;4.6;leathery;fruity;animalic;smoky;sweet
Yves Saint Laurent;La Nuit de l'Homme;2009;4.5;aromatic;warm spicy;fresh spicy;lavender;vanilla
Maison Francis Kurkdjian;Baccarat Rouge 540;2015;4.8;amber;warm spicy;woody;evergreen;animalic
Jean Paul Gaultier;Le Male;1995;4.3;aromatic;vanilla;fresh spicy;lavender;cinnamon
Prada;L'Homme;2016;4.5;iris;powdery;violet;woody;ozonic
Dolce & Gabbana;The One for Men;2008;4.4;tobacco;warm spicy;amber;sweet;citrus
Viktor & Rolf;Spicebomb;2012;4.4;warm spicy;cinnamon;tobacco;sweet;leathery
Hermès;Terre d'Hermès;2006;4.5;woody;citrus;fresh spicy;aromatic;earthy
Burberry;London for Men;2006;4.2;tobacco;sweet;warm spicy;cinnamon;leathery
Gucci;Guilty Pour Homme;2011;4.1;aromatic;citrus;white floral;lavender;green
Bvlgari;Man in Black;2014;4.4;warm spicy;rum;tobacco;leathery;woody
Armaf;Club de Nuit Intense Man;2015;4.3;citrus;fruity;leathery;smoky;woody
Nishane;Ani;2019;4.6;vanilla;warm spicy;woody;citrus;powdery
Parfums de Marly;Layton;2016;4.5;vanilla;warm spicy;fruity;sweet;woody
Xerjoff;Naxos;2015;4.7;tobacco;honey;sweet;vanilla;citrus
Amouage;Interlude Man;2012;4.6;amber;warm spicy;balsamic;smoky;woody
Roja Dove;Elysium Pour Homme;2017;4.5;aromatic;citrus;fresh spicy;woody;fruity
Clive Christian;No. 1;2001;4.7;woody;powdery;amber;warm spicy;yellow floral
By Kilian;Black Phantom;2017;4.4;coffee;caramel;dark chocolate;almond;rum
Le Labo;Santal 33;2011;4.5;woody;powdery;leathery;iris;violet
Diptyque;Philosykos;1996;4.4;green;woody;fruity;coconut;aromatic
Jo Malone;Wood Sage & Sea Salt;2014;4.3;aromatic;marine;salty;citrus;herbal
Acqua di Parma;Colonia;1916;4.4;citrus;aromatic;fresh spicy;woody;floral
L'Artisan Parfumeur;Timbuktu;2004;4.5;woody;incense;fresh spicy;balsamic;fruity
Frederic Malle;Portrait of a Lady;2010;4.7;rose;amber;patchouli;balsamic;warm spicy
Serge Lutens;Chergui;2005;4.6;tobacco;honey;amber;sweet;hay
Nasomatto;Black Afgano;2009;4.5;smoky;oud;resinous;woody;coffee
